name,sum,chgk_sum,chgk_1.0,chgk_2.0,chgk_3.0,brain_sum,brain_1,brain_2,brain_3,ek_sum,ek_1,ek_2,ek_3,si_sum,si_1,si_2,si_3
Морозовский Феликс Романович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Новиков Илья Сергеевич,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Шевченко Богдан Викторович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Кучерова Ксения Геннадьевна,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ичигеева Джияна Очировна,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Колодяжная Юлия Владимировна,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Гиршевич Сергей Михайлович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Калинин Антон Витальевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Лаврентьев Антон Дмитриевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Новолокин Алексей Павлович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Островский Андрей Вячеславович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Павлов Владимир Евгеньевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Трутнев Олег Сергеевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Редькин Илья Евгеньевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Шлыков Николай Александрович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ермалович Александра Васильевна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Шиншинова Ольга Дмитриевна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Новикова Екатерина Сергеевна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Алыпова Светлана Алексеевна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Сапожников Артём Алексеевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Николаева Ксения Сергеевна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Зайцев Александр Дмитриевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Лубенникова Анастасия Витальевна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Шевелёв Александр Алексеевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Сновский Александр Юрьевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Наследскова Полина Леонидовна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Аристова Мария Васильевна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Самойлова Ася Сергеевна,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Бидный Сергей Владимирович,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Быкова Ольга Викторовна,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Данильченко Евгений Сергеевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Дубичева Александра Александровна,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Зборовская Марьяна Михайловна,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Иванова Любовь Владимировна,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Новокрещенова Ольга Ростиславна,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Климович Сергей Александрович,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Логинов Всеволод Анатольевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Пручковский Николай Алексеевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Торшин Николай Валерьевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Тюрин Михаил Юрьевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Салакко Александр Сергеевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Царьков Илья Николаевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Красевич Иван Сергеевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Питателев Михаил Васильевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Дьяконов Максим Олегович,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Декалов Владислав Владимирович,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
