name,sum,chgk_sum,chgk_1.0,chgk_2.0,chgk_3.0,brain_sum,brain_1,brain_2,brain_3,ek_sum,ek_1,ek_2,ek_3,si_sum,si_1,si_2,si_3
Кудинов Антон ,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Никольский Александр Николаевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Петухов Андрей Николаевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Пынёнкова Ольга Николаевна,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Ревзин Леонид Маркович,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Смирнов Вячеслав Юрьевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Смурова Мария Валерьевна,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Срибный Александр Евгеньевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Хвастунов Николай Николаевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Шалгунов Владимир Сергеевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Машков Олег ,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Стариков Иван Юрьевич,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Дудоров Евгений Александрович,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Мозеров Илья Сергеевич,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Стрельникова Светлана Алексеевна,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Суманеев Иван Андреевич,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Турчанинов Дмитрий Петрович,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
Артюхин Ярослав Николаевич,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Топханов Алексей Владимирович,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
Баранова Елизавета Сергеевна,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
Корчёмкина Мария Артуровна,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Зырянов Григорий Александрович,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Колесов Артём Александрович,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Московченко Михаил Дмитриевич,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Щербина Павел Константинович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Махрова Маргарита Александровна,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Попов Михаил Николаевич,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Пономарёв Дмитрий Александрович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Деревянкин Павел Геннадьевич,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Вавер Дмитрий Александрович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Трубин Павел Константинович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Паруль Анна Дмитриевна,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
Мухаматулин Тимур Анварович,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
Абросимов Алексей Михайлович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Горбачёв Дмитрий Викторович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Каниськин Сергей Александрович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Котышов Ярослав Александрович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Семушина Нина Игоревна,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Марченко Даниил Алексеевич,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Моключенко Виктория Игоревна,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Морозовский Феликс Романович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Чернуха Ирина Викторовна,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Иваницкий Илья Игоревич,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Карцев Дмитрий Александрович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Айдаров Юрий Рафаэлевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Боленок Алексей Витальевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Галачян Ким Гагикович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Давыдкина Анна Максимовна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Даровских Сергей Александрович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Журавель Артём Александрович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Зеленеев Андрей Илдарович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Карелин Максим Алексеевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Коссихин Сергей Вячеславович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Либерзон Даниил Григорьевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Лисицын Леонид Андреевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Макаров Илья Валентинович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Марьянский Андрей Юрьевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Меленев Пётр Викторович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Новиков Андрей Александрович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Петров Игорь Владимирович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Сергеев Илья Сергеевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Рубашкина Анастасия Дмитриевна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Славин Дмитрий Геннадьевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Снятковский Антон Михайлович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Спешков Сергей Леонидович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Сыздыков Тимур Маратович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Тарасов Андрей Даниилович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Чарахчьян Дмитрий Владимирович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Романенко Алёна Александровна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Либерзон Илья Григорьевич,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Лысенко Елизавета Николаевна,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Прокопенко Тимофей Александрович,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
